,Sharpe,Risk
AAAP,0.36691514625073085,0.01993279262405303
AAL,1.1204489462546863,0.01875995937828947
AAME,0.06779855029230598,0.03528881142707584
AAOI,2.050303989412748,0.05128386199061557
AAON,0.5815929856546449,0.01697436752452975
AAPL,2.481694133950871,0.010774214138016493
AAWW,1.6215401101025553,0.01955842933806096
AAXJ,2.1523229661916616,0.029195044784138948
AAXN,-0.2274747225770424,0.01918457992743575
ABAC,-0.20087219530318706,0.04390849490668864
ABAX,-0.4703281858298514,0.017691251329434086
ABCB,1.2844511369088396,0.017352240509089643
ABCD,0.6370493839103918,0.020332169369253136
ABCO,0.8589323835002974,0.020712590674645193
ABDC,-0.07470442153582729,0.019725637628599052
ABEO,2.0982514360267763,0.054282346347941345
ABIL,-0.9059430403199423,0.039763374060099464
ABIO,2.306314746565985,0.0035629922043285563
ABMD,1.337096450431645,0.017015447897112762
ABTL,-1.098617802713851,0.03589652711575465
ABTX,1.270178779136939,0.01766283019466889
ABUS,-0.3902229274802155,0.02889787896053248
ABY,0.7418083277691746,0.01632805887750783
ACAD,0.6235116848122917,0.03190436702149018
ACBI,1.2118431152771885,0.014687591509387653
ACET,-0.905169784859313,0.029251511534186043
ACFC,1.3108682479960272,0.015663502958484656
ACGL,2.215291966410046,0.00818591298414587
ACHC,-0.1928879070469051,0.02175254646772938
ACHN,-0.6757653480148991,0.04381274469684779
ACIA,-0.9755938360786731,0.037615540817060415
ACIW,0.6185391469110963,0.01973199803886263
ACLS,2.420948285568435,0.028486777908945743
ACNB,0.3855539892621456,0.014692284284855856
ACOR,0.4212025447924494,0.039706189258767614
ACRS,0.05474120169251994,0.02769277601554204
ACRX,0.43502452117523294,0.05126918289648144
ACSF,0.8395807071300958,0.012647821403419707
ACST,-0.07116761810307473,0.07827551321210413
ACTA,0.5088106168172559,0.025532722586980045
ACTG,-0.5964532340749598,0.037554142016749704
ACTX,2.57729228500951,0.01949395904168815
ACWI,4.190535362313071,0.013101145976624845
ACWX,2.8451526901892645,0.01957871925689286
ACXM,-0.2131905641852387,0.01632444009097415
ADAP,-0.5068623276785246,0.033650143602680746
ADBE,2.802220903474301,0.009978649326170258
ADES,1.403006685818441,0.022503637795874696
ADHD,-0.7312225113657361,0.05208826381042903
ADI,1.8700450459188829,0.014037330926596762
ADMA,-1.0047786775440242,0.037731534890061015
ADMP,0.8106661400798023,0.052034120342077696
ADMS,0.7471881039090383,0.037751269360313894
ADP,1.6942742116445786,0.012488080866492291
ADRA,2.1763422832694785,0.023651974807439285
ADRD,2.2068519928920196,0.022322169168969803
ADRE,1.6821219930983948,0.04004596070833563
ADRO,-0.42130152718182623,0.03421050961887482
ADRU,1.8835036583934248,0.027587154555577732
ADSK,2.031652816632467,0.01854123262949431
ADTN,1.0684778066735796,0.016799448573689757
ADUS,1.066765392608952,0.022780715141598795
ADVM,-0.2425605568563283,0.04148239086315382
ADXS,-1.0512672095439008,0.038662623002977
AEGN,0.31465678633985444,0.024429029330268245
AEHR,0.36550119323197544,0.05030059622395775
AEIS,2.749544418184079,0.0190030146177875
AEMD,-0.6448656812317206,0.07840100664056252
AERI,0.9368603383448549,0.03354636695151664
AETI,-0.6019762556744773,0.04939862859210192
AEY,-0.4595507967782923,0.02170507423305073
AEZS,-0.1519683589017435,0.03454947866331321
AFAM,1.1809568725180146,0.02032318829505086
AFH,0.6414477591625186,0.02275171803453844
AFMD,-0.4662124212527456,0.04370804686524903
