,Name,Sector,Sharpe,Risk
AAAP,Advanced Accelerator Applications S.A.,Health Care,0.36691514625073085,0.01993279262405303
AAL,"American Airlines Group, Inc.",Transportation,1.1204489462546863,0.01875995937828947
AAME,Atlantic American Corporation,Finance,0.06779855029230598,0.03528881142707584
AAOI,"Applied Optoelectronics, Inc.",Technology,2.050303989412748,0.05128386199061557
AAON,"AAON, Inc.",Capital Goods,0.5815929856546449,0.01697436752452975
AAPL,Apple Inc.,Technology,2.481694133950871,0.010774214138016493
AAWW,Atlas Air Worldwide Holdings,Transportation,1.6215401101025553,0.01955842933806096
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,n/a,2.1523229661916616,0.029195044784138948
AAXN,"Axon Enterprise, Inc.",Capital Goods,-0.2274747225770424,0.01918457992743575
ABAC,"Aoxin Tianli Group, Inc.",Consumer Non-Durables,-0.20087219530318706,0.04390849490668864
ABAX,"ABAXIS, Inc.",Capital Goods,-0.4703281858298514,0.017691251329434086
ABCB,Ameris Bancorp,Finance,1.2844511369088396,0.017352240509089643
ABCD,"Cambium Learning Group, Inc.",Consumer Services,0.6370493839103918,0.020332169369253136
ABCO,The Advisory Board Company,Consumer Services,0.8589323835002974,0.020712590674645193
ABDC,Alcentra Capital Corp.,n/a,-0.07470442153582729,0.019725637628599052
ABEO,Abeona Therapeutics Inc.,Health Care,2.0982514360267763,0.054282346347941345
ABIL,Ability Inc.,Finance,-0.9059430403199423,0.039763374060099464
ABIO,"ARCA biopharma, Inc.",Health Care,2.306314746565985,0.0035629922043285563
ABMD,"ABIOMED, Inc.",Health Care,1.337096450431645,0.017015447897112762
ABTL,Autobytel Inc.,Technology,-1.098617802713851,0.03589652711575465
ABTX,"Allegiance Bancshares, Inc.",Finance,1.270178779136939,0.01766283019466889
ABUS,Arbutus Biopharma Corporation,Health Care,-0.3902229274802155,0.02889787896053248
ABY,Atlantica Yield plc,Public Utilities,0.7418083277691746,0.01632805887750783
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,0.6235116848122917,0.03190436702149018
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,1.2118431152771885,0.014687591509387653
ACET,Aceto Corporation,Health Care,-0.905169784859313,0.029251511534186043
ACFC,Atlantic Coast Financial Corporation,Finance,1.3108682479960272,0.015663502958484656
ACGL,Arch Capital Group Ltd.,Finance,2.215291966410046,0.00818591298414587
ACHC,"Acadia Healthcare Company, Inc.",Health Care,-0.1928879070469051,0.02175254646772938
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,-0.6757653480148991,0.04381274469684779
ACIA,"Acacia Communications, Inc.",Technology,-0.9755938360786731,0.037615540817060415
ACIW,"ACI Worldwide, Inc.",Technology,0.6185391469110963,0.01973199803886263
ACLS,"Axcelis Technologies, Inc.",Technology,2.420948285568435,0.028486777908945743
ACNB,ACNB Corporation,Finance,0.3855539892621456,0.014692284284855856
ACOR,"Acorda Therapeutics, Inc.",Health Care,0.4212025447924494,0.039706189258767614
ACRS,"Aclaris Therapeutics, Inc.",Health Care,0.05474120169251994,0.02769277601554204
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,0.43502452117523294,0.05126918289648144
ACSF,"American Capital Senior Floating, Ltd.",n/a,0.8395807071300958,0.012647821403419707
ACST,"Acasti Pharma, Inc.",Health Care,-0.07116761810307473,0.07827551321210413
ACTA,Actua Corporation,Technology,0.5088106168172559,0.025532722586980045
ACTG,Acacia Research Corporation,Miscellaneous,-0.5964532340749598,0.037554142016749704
ACTX,Global X Guru Activist ETF,n/a,2.57729228500951,0.01949395904168815
ACWI,iShares MSCI ACWI Index Fund,n/a,4.190535362313071,0.013101145976624845
ACWX,iShares MSCI ACWI ex US Index Fund,n/a,2.8451526901892645,0.01957871925689286
ACXM,Acxiom Corporation,Technology,-0.2131905641852387,0.01632444009097415
ADAP,Adaptimmune Therapeutics plc,Health Care,-0.5068623276785246,0.033650143602680746
ADBE,Adobe Systems Incorporated,Technology,2.802220903474301,0.009978649326170258
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,1.403006685818441,0.022503637795874696
ADHD,Alcobra Ltd.,Health Care,-0.7312225113657361,0.05208826381042903
ADI,"Analog Devices, Inc.",Technology,1.8700450459188829,0.014037330926596762
ADMA,ADMA Biologics Inc,Health Care,-1.0047786775440242,0.037731534890061015
ADMP,Adamis Pharmaceuticals Corporation,Health Care,0.8106661400798023,0.052034120342077696
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,0.7471881039090383,0.037751269360313894
ADP,"Automatic Data Processing, Inc.",Technology,1.6942742116445786,0.012488080866492291
ADRA,BLDRS Asia 50 ADR Index Fund,n/a,2.1763422832694785,0.023651974807439285
ADRD,BLDRS Developed Markets 100 ADR Index Fund,n/a,2.2068519928920196,0.022322169168969803
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,n/a,1.6821219930983948,0.04004596070833563
ADRO,"Aduro Biotech, Inc.",Health Care,-0.42130152718182623,0.03421050961887482
ADRU,BLDRS Europe 100 ADR Index Fund,n/a,1.8835036583934248,0.027587154555577732
ADSK,"Autodesk, Inc.",Technology,2.031652816632467,0.01854123262949431
ADTN,"ADTRAN, Inc.",Public Utilities,1.0684778066735796,0.016799448573689757
ADUS,Addus HomeCare Corporation,Health Care,1.066765392608952,0.022780715141598795
ADVM,"Adverum Biotechnologies, Inc.",Health Care,-0.2425605568563283,0.04148239086315382
ADXS,"Advaxis, Inc.",Health Care,-1.0512672095439008,0.038662623002977
AEGN,Aegion Corp,Basic Industries,0.31465678633985444,0.024429029330268245
